Beer name	Brewery location	Beer rating
Brouwerij Rodenbach (Palm)	Roeselare, Belgium	3.6
Magic Rock Brewing	Huddersfield, West Yorkshire	3.6
Evil Twin Brewing	Brooklyn, New York	3.6
Stone Brewing	Escondido, California	3.6
Goose Island Beer Company (AB-InBev)	Chicago, Illinois	3.6
Braukollektiv	Freiburg im Breisgau, Baden-Württemberg	3.6
Brauerei Heller	Bamberg, Bavaria	3.6
Cloudwater Brew Co	Manchester, Greater Manchester	3.6
Brauerei Aying	Aying, Bavaria	3.6
Evil Twin Brewing	Brooklyn, New York	3.6
Firestone Walker Brewing (Duvel-Moortgat)	Paso Robles, California	3.6
Rogue Ales	Newport, Oregon	3.6
Fuller’s	London, Greater London	3.6
Arbor	Bristol, Gloucestershire	3.6
Brewery Ommegang (Duvel-Moortgat)	Cooperstown, New York	3.6
Magic Rock Brewing	Huddersfield, West Yorkshire	3.1
Cellarmaker Brewing Company	San Francisco, California	3.1
The Veil Brewing Company	Richmond, Virginia	3.1
J. Wakefield Brewing	Miami, Florida	3.1
Founders Brewing Company	Grand Rapids, Michigan	3.1
Cycle Brewing	Saint Petersburg, Florida	3.1
Dogfish Head Brewery	Milton, Delaware	3.1
Great Divide Brewing Company	Denver, Colorado	3.1
Beachwood BBQ & Brewing	Long Beach, California	3.1
Stone Brewing	Escondido, California	3.1
Dark Horse Brewing Company	Marshall, Michigan	3.1
J. Wakefield Brewing	Miami, Florida	3.1
Prairie Artisan Ales	Tulsa, Oklahoma	3.1
Oakham	Peterborough, Cambridgeshire	3.1
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	3.1
Evil Twin Brewing	Brooklyn, New York	3.9
Moon Under Water Brewery	Victoria, British Columbia	3.9
Modern Times Beer	San Diego, California	3.9
Ballast Point Brewing Company (Constellation)	San Diego, California	3.9
The Kernel	Bermondsey, Greater London	3.9
Evil Twin Brewing	Brooklyn, New York	3.9
Westbrook Brewing	Mount Pleasant, South Carolina	3.9
Cigar City Brewing	Tampa, Florida	3.9
Klosterbrauerei Ettal	Ettal, Bavaria	3.9
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	3.9
Ballast Point Brewing Company (Constellation)	San Diego, California	3.9
Hair of the Dog Brewing Company	Portland, Oregon	3.9
Lagunitas Brewing Company (Heineken)	Petaluma, California	3.9
J. Wakefield Brewing	Miami, Florida	3.9
Fiddlehead Brewing Company	Shelburne, Vermont	3.9
Pelican Pub & Brewery	Pacific City, Oregon	3.7
Tree House Brewing Company	Monson, Massachusetts	3.7
Jack’s Abby Brewing	Framingham, Massachusetts	3.7
Throwback Brewery	North Hampton, New Hampshire	3.7
Carton Brewing	Atlantic Highlands, New Jersey	3.7
Stone Brewing	Escondido, California	3.7
Lagunitas Brewing Company (Heineken)	Petaluma, California	3.7
Cellarmaker Brewing Company	San Francisco, California	3.7
Cellarmaker Brewing Company	San Francisco, California	3.7
Trillium Brewing Company	Boston, Massachusetts	3.7
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	3.7
Trillium Brewing Company	Boston, Massachusetts	3.7
Brauerei Aying	Aying, Bavaria	3.7
Trillium Brewing Company	Boston, Massachusetts	3.7
Allagash Brewing Company	Portland, Maine	3.7
Trillium Brewing Company	Boston, Massachusetts	4.3
Lawson’s Finest Liquids	Warren, Vermont	4.3
Brasseurs du Nord	Blainville, Quebec	4.3
Brasserie Dunham	Dunham, Quebec	4.3
Funky Buddha Brewery	Oakland Park, Florida	4.3
AleSmith Brewing Company	San Diego, California	4.3
Bear Republic Brewing Company	Healdsburg, California	4.3
Central Waters Brewing Co.	Amherst, Wisconsin	4.3
AleSmith Brewing Company	San Diego, California	4.3
Nickel Brook Brewing Co.	Burlington, Ontario	4.3
Charles Wells (Marston’s)	Bedford, Bedfordshire	4.3
Tree House Brewing Company	Monson, Massachusetts	4.3
Bayerische Staatsbrauerei Weihenstephan	Freising, Bavaria	4.3
Goose Island Beer Company (AB-InBev)	Chicago, Illinois	4.3
Tree House Brewing Company	Monson, Massachusetts	4.3
Brouwerij Van Steenberge	Ertvelde, Belgium	3.6
Boulder Beer Company	Boulder, Colorado	3.6
Charles Wells (Marston’s)	Bedford, Bedfordshire	3.6
Moor	Bristol, Gloucestershire	3.6
Moor	Bristol, Gloucestershire	3.6
Alpine Beer Company (CA)	Alpine, California	3.6
Magic Rock Brewing	Huddersfield, West Yorkshire	3.6
Magic Rock Brewing	Huddersfield, West Yorkshire	3.6
Cycle Brewing	Saint Petersburg, Florida	3.6
Stone Brewing	Escondido, California	3.6
Dieu du Ciel	Montreal, Quebec	3.6
The Alchemist	Stowe, Vermont	3.6
Craftwerk Brewing (Bitburger)	Bitburg, Rhineland-Palatinate	3.6
Fuller’s	London, Greater London	3.6
Paulaner Brauerei (Schörghuber)	Munich, Bavaria	3.6
LTM - Les Trois Mousquetaires	Brossard, Quebec	3.9
Real Ale Brewing Company	Blanco, Texas	3.9
Rogue Ales	Newport, Oregon	3.9
North Coast Brewing Company	Fort Bragg, California	3.9
Magic Rock Brewing	Huddersfield, West Yorkshire	3.9
Moor	Bristol, Gloucestershire	3.9
Buxton	Buxton, Derbyshire	3.9
Buxton	Buxton, Derbyshire	3.9
Brouwerij Van Steenberge	Ertvelde, Belgium	3.9
Redchurch	Bethnal Green, Greater London	3.9
Three Floyds Brewing Company	Munster, Indiana	3.9
Monkish Brewing Company	Torrance, California	3.9
Cloudwater Brew Co	Manchester, Greater Manchester	3.9
Cloudwater Brew Co	Manchester, Greater Manchester	3.9
Cloudwater Brew Co	Manchester, Greater Manchester	3.9
Cloudwater Brew Co	Manchester, Greater Manchester	4
Chimay	Baileux, Belgium	4
Mikkeller San Diego	San Diego, California	4
pFriem Family Brewers	Hood River, Oregon	4
Cloudwater Brew Co	Manchester, Greater Manchester	4
Magic Hat Brewing Company (Cervecería Costa Rica - FIFCO)	South Burlington, Vermont	4
Cloudwater Brew Co	Manchester, Greater Manchester	4
Superstition Meadery	Prescott, Arizona	4
Superstition Meadery	Prescott, Arizona	4
Superstition Meadery	Prescott, Arizona	4
New Glarus Brewing Company	New Glarus, Wisconsin	4
Creature Comforts Brewing Company	Athens, Georgia	4
Toppling Goliath	Decorah, Iowa	4
Brouwerij der Trappisten van Westmalle	Malle, Belgium	4
Beyond the Pale Brewing Company	Ottawa, Ontario	4
Trillium Brewing Company	Boston, Massachusetts	3.6
Westvleteren Abdij St. Sixtus	Westvleteren, Belgium	3.6
The Alchemist	Stowe, Vermont	3.6
Cloudwater Brew Co	Manchester, Greater Manchester	3.6
Chimay	Baileux, Belgium	3.6
Sante Adairius Rustic Ales	Capitola, California	3.6
Brauerei Heller	Bamberg, Bavaria	3.6
Funky Buddha Brewery	Oakland Park, Florida	3.6
Microbrasserie Maltstrom	Notre-Dame-des-Prairies, Quebec	3.6
Microbrasserie Maltstrom	Notre-Dame-des-Prairies, Quebec	3.6
Pelican Pub & Brewery	Pacific City, Oregon	3.6
Buxton	Buxton, Derbyshire	3.6
Jack’s Abby Brewing	Framingham, Massachusetts	3.6
Cigar City Brewing	Tampa, Florida	3.6
Jolly Pumpkin Artisan Ales	Dexter, Michigan	3.6
Superstition Meadery	Prescott, Arizona	3.7
Cigar City Brewing	Tampa, Florida	3.7
Sante Adairius Rustic Ales	Capitola, California	3.7
Deya Brewing Company	Cheltenham , Gloucestershire	3.7
Sante Adairius Rustic Ales	Capitola, California	3.7
Driftwood Brewery (Canada)	Victoria, British Columbia	3.7
Sante Adairius Rustic Ales	Capitola, California	3.7
Brauerei Rittmayer Hallerndorf	Hallerndorf, Bavaria	3.7
The Alchemist	Stowe, Vermont	3.7
Tree House Brewing Company	Monson, Massachusetts	3.7
Fuller’s	London, Greater London	3.7
Trillium Brewing Company	Boston, Massachusetts	3.7
Other Half Brewing	Brooklyn, New York	3.7
Chimay	Baileux, Belgium	3.7
Other Half Brewing	Brooklyn, New York	3.7
York	York, North Yorkshire	3.4
Brasserie Dunham	Dunham, Quebec	3.4
Magic Rock Brewing	Huddersfield, West Yorkshire	3.4
Other Half Brewing	Brooklyn, New York	3.4
Rogue Ales	Newport, Oregon	3.4
Cigar City Brewing	Tampa, Florida	3.4
Cigar City Brewing	Tampa, Florida	3.4
Cigar City Brewing	Tampa, Florida	3.4
AleSmith Brewing Company	San Diego, California	3.4
Bell’s Brewery	Galesburg, Michigan	3.4
Evil Twin Brewing	Brooklyn, New York	3.4
Victory Brewing Company (ABV)	Downingtown, Pennsylvania	3.4
Almanac Beer Company	San Francisco, California	3.4
Sante Adairius Rustic Ales	Capitola, California	3.4
Jolly Pumpkin Artisan Ales	Dexter, Michigan	3.4
Beavertown Brewery	Tottenham, Greater London	3.7
Port Brewing Company / The Lost Abbey	San Marcos, California	3.7
Sierra Nevada Brewing Company	Chico, California	3.7
Prairie Artisan Ales	Tulsa, Oklahoma	3.7
The Kernel	Bermondsey, Greater London	3.7
Trillium Brewing Company	Boston, Massachusetts	3.7
Tree House Brewing Company	Monson, Massachusetts	3.7
7venth Sun Brewery	Dunedin, Florida	3.7
Oskar Blues Brewery	Longmont, Colorado	3.7
Tired Hands Brewing Company	Ardmore, Pennsylvania	3.7
Cigar City Brewing	Tampa, Florida	3.7
Westbrook Brewing	Mount Pleasant, South Carolina	3.7
Brewery Ommegang (Duvel-Moortgat)	Cooperstown, New York	3.7
Brauerei Gebr. Maisel Bayreuth	Bayreuth, Bavaria	3.7
Buxton	Buxton, Derbyshire	3.7
Cellarmaker Brewing Company	San Francisco, California	3.8
Stone Brewing	Escondido, California	3.8
Magic Rock Brewing	Huddersfield, West Yorkshire	3.8
Gigantic Brewing Co.	Portland, Oregon	3.8
AleSmith Brewing Company	San Diego, California	3.8
Thornbridge	Ashford in the Water, Derbyshire	3.8
Unibroue (Sapporo)	Chambly, Quebec	3.8
Snowdrift Cider Co.	East Wenatchee, Washington	3.8
Sierra Nevada Brewing Company	Chico, California	3.8
Trillium Brewing Company	Boston, Massachusetts	3.8
Dogfish Head Brewery	Milton, Delaware	3.8
Sierra Nevada Brewing Company	Chico, California	3.8
Avery Brewing Company	Boulder, Colorado	3.8
Ballast Point Brewing Company (Constellation)	San Diego, California	3.8
Founders Brewing Company	Grand Rapids, Michigan	3.8
